Name,GPU Name,Architecture,Foundry,Process Size,Transistor Count,Die Size,Release Date,Generation,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Memory Bandwidth,Shading Units,TMUs,ROPs,Compute Units,L0 Cache,L1 Cache,L2 Cache,L3 Cache,Pixel Rate,Texture Rate,Floating Point Performance 32-bit,Floating Point Performance 64-bit,TDP,DirectX,OpenGL,Vulkan,Shader Model,SMM Count,SM Count,Tensor Cores,RT Cores
GeForce GTX 950M,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-03-13 00:00:00,GeForce 900M,993.0,1124.0,900.0,4096.0,DDR3,128.0,28.8,640.0,40.0,16.0,,,64.0,2.0,,17.98,44.96,1.439,44.96,75.0,12,4.6,1.3,6.0,5.0,,,
GeForce GTX 950M Mac Edition,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-03-13 00:00:00,GeForce 900M,993.0,1124.0,900.0,2048.0,DDR3,128.0,28.8,640.0,40.0,16.0,,,64.0,2.0,,17.98,44.96,1.439,44.96,75.0,12,4.6,1.3,6.0,5.0,,,
GeForce GTX 960A,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-03-13 00:00:00,GeForce 900A,1097.0,1176.0,1253.0,2048.0,DDR5,128.0,80.19,640.0,40.0,16.0,,,64.0,2.0,,18.82,47.04,1505.0,47.04,75.0,12,4.6,1.3,6.0,5.0,,,
GeForce GTX 960M,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-03-13 00:00:00,GeForce 900M,1097.0,1176.0,1253.0,4096.0,DDR5,128.0,80.19,640.0,40.0,16.0,,,64.0,2.0,,18.82,47.04,1505.0,47.04,75.0,12,4.6,1.3,6.0,5.0,,,
GeForce GTX 965M,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-01-09 00:00:00,GeForce 900M,924.0,950.0,1253.0,2048.0,DDR5,128.0,80.19,1024.0,64.0,32.0,,,48.0,1.0,,30.4,60.8,1946.0,60.8,,12,4.6,1.3,6.0,8.0,,,
GeForce GTX 965M,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-01-09 00:00:00,GeForce 900M,924.0,950.0,1253.0,2048.0,DDR5,128.0,80.19,1024.0,64.0,32.0,,,48.0,1.0,,30.4,60.8,1946.0,60.8,,12,4.6,1.3,6.0,8.0,,,
GeForce GTX 965M 4 GB,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-01-09 00:00:00,GeForce 900M,935.0,1150.0,1253.0,4096.0,DDR5,128.0,80.19,1024.0,64.0,32.0,,,48.0,1.0,,36.8,73.6,2355.0,73.6,,12,4.6,1.3,6.0,8.0,,,
GeForce GTX 980 Mobile,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-09-21 00:00:00,GeForce 900M,1064.0,1140.0,1753.0,8192.0,DDR5,256.0,224.4,2048.0,128.0,64.0,,,48.0,2.0,,72.96,145.9,4669.0,145.9,,12,4.6,1.3,6.0,16.0,,,
Jetson TX1,GM20B,Maxwell 2.0,TSMC,20.0,2000000.0,118.0,2015-01-04 00:00:00,Tegra,,,600.0,4096.0,DDR4,64.0,9.6,256.0,16.0,16.0,,,48.0,0.25,,15.97,15.97,511.0,15.97,6.0,12,4.6,1.1,6.0,2.0,,,
Quadro K620M,GM108S,Maxwell,TSMC,28.0,1020000.0,77.0,2015-03-01 00:00:00,Quadro Kepler-M,1029.0,1124.0,1001.0,2048.0,DDR3,64.0,16.02,384.0,16.0,8.0,,,64.0,1.0,,8.992,17.98,863.2,26.98,30.0,12,4.6,1.3,6.0,2.0,,,
Quadro M1000M,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-08-18 00:00:00,Quadro Maxwell-M,993.0,1072.0,1253.0,2048.0,DDR5,128.0,80.19,512.0,32.0,16.0,,,64.0,2.0,,17.15,34.3,1.098,34.3,40.0,12,4.6,1.3,6.0,4.0,,,
Quadro M2000M,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-12-03 00:00:00,Quadro Maxwell-M,1098.0,1137.0,1253.0,4096.0,DDR5,128.0,80.19,640.0,40.0,16.0,,,64.0,2.0,,18.19,45.48,1.455,45.48,55.0,12,4.6,1.3,6.0,5.0,,,
Quadro M3000M,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-08-18 00:00:00,Quadro Maxwell-M,823.0,924.0,1253.0,4096.0,DDR5,256.0,160.4,1024.0,64.0,32.0,,,48.0,2.0,,29.57,59.14,1892.0,59.14,75.0,12,4.6,1.3,6.0,8.0,,,
Quadro M4000M,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-08-18 00:00:00,Quadro Maxwell-M,975.0,1013.0,1253.0,4096.0,DDR5,256.0,160.4,1280.0,80.0,64.0,,,48.0,2.0,,64.83,81.04,2593.0,81.04,100.0,12,4.6,1.3,6.0,10.0,,,
Quadro M5000M,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-08-18 00:00:00,Quadro Maxwell-M,962.0,1051.0,1253.0,8192.0,DDR5,256.0,160.4,1536.0,96.0,64.0,,,48.0,2.0,,67.26,100.9,3229.0,100.9,100.0,12,4.6,1.3,6.0,12.0,,,
Quadro M600M,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-08-18 00:00:00,Quadro Maxwell-M,837.0,876.0,1253.0,2048.0,DDR5,128.0,80.19,384.0,16.0,8.0,,,64.0,2.0,,7.008,14.02,672.8,21.02,30.0,12,4.6,1.3,6.0,2.0,,,
Tesla M6 Mobile,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-08-30 00:00:00,Tesla Maxwell,930.0,1180.0,1253.0,8192.0,DDR5,256.0,160.4,1536.0,96.0,64.0,,,48.0,2.0,,75.52,113.3,3625.0,113.3,100.0,12,4.6,1.3,6.0,12.0,,,
Tesla M6 X2 Mobile,GM204,Maxwell 2.0,TSMC,28.0,5200000.0,398.0,2015-08-30 00:00:00,Tesla Maxwell,930.0,1180.0,1253.0,8192.0,DDR5,256.0,160.4,1536.0,96.0,64.0,,,48.0,2.0,,75.52,113.3,3625.0,113.3,100.0,12,4.6,1.3,6.0,12.0,,,
GeForce RTX 5050 Mobile,GB207,Blackwell 2.0,TSMC,,,,2025-01-01 00:00:00,GeForce 50 Mobile,2235.0,2520.0,1750.0,8192.0,DDR6,128.0,224.0,2560.0,80.0,32.0,,,128.0,32.0,,80.64,201.6,12900.0,201.6,115.0,12 Ultimate,4.6,1.3,6.0,,20.0,80.0,"20.0"
GeForce RTX 5060 Mobile,GB206,Blackwell 2.0,TSMC,,,,2025-01-01 00:00:00,GeForce 50 Mobile,2235.0,2520.0,2500.0,8192.0,DDR7,128.0,507.2,3584.0,112.0,32.0,,,128.0,32.0,,80.64,282.2,18060.0,282.2,115.0,12 Ultimate,4.6,1.3,6.0,,28.0,112.0,"28.0"
GeForce RTX 5070 Mobile,GB206,Blackwell 2.0,TSMC,,,,2025-01-01 00:00:00,GeForce 50 Mobile,2235.0,2520.0,2500.0,8192.0,DDR7,128.0,507.2,4608.0,144.0,48.0,,,128.0,32.0,,121.0,362.9,23220.0,362.9,115.0,12 Ultimate,4.6,1.3,6.0,,36.0,144.0,"36.0"
GeForce RTX 5070 Ti Mobile,GB205,Blackwell 2.0,TSMC,,,,2025-01-01 00:00:00,GeForce 50 Mobile,2235.0,2520.0,2500.0,12288.0,DDR7,192.0,760.8,6400.0,200.0,64.0,,,128.0,40.0,,161.3,504.0,32259.999999999996,504.0,140.0,12 Ultimate,4.6,1.3,6.0,,50.0,200.0,"50.0"
GeForce RTX 5080 Mobile,GB203,Blackwell 2.0,TSMC,,,377.0,2025-01-01 00:00:00,GeForce 50 Mobile,1500.0,2000.0,2500.0,16384.0,DDR7,256.0,1034.24,8192.0,256.0,96.0,,,128.0,64.0,,192.0,512.0,32770.0,512.0,175.0,12 Ultimate,4.6,1.3,6.0,,64.0,256.0,"64.0"
