,Socket,Foundry,Process Size: ,Transistors,Die Size,Package,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,Base Clock,Multiplier,Multiplier Unlocked,TDP,Codename,Generation,Memory Support,LPDDR4x Speed,Rated Speed,Memory Bus,ECC Memory,PCI-Express,# of Cores,# of Threads,SMP # CPUs: ,Integrated Graphics,Cache L1,Cache L2,Cache L3,LPDDR5 Speed,P-Core Base,E-Core Frequency,Configurable TDP,LPDDR5x Speed,Hybrid Cores,I/O Process Size,I/O Die Size,XDNA NPU,PPT,3D V-Cache,E-Core L1,E-Core L2,Chipset,Launch Price,DDR4 Speed,SoC Tile Process,I/O Tile Process,Graphics Tile Process,LP E-Core Boost,AI Boost NPU,Maximum Power,Secondary PCIe,LP E-Cores,Tertiary PCIe,Minimum Power,PL1,PL2,DDR5 Speed,PCH PCIe,Min. Assured Freq.,Max. Assured Freq.,tCaseMax,P-Core Boost 3.0,PL2 Tau Limit,Chipsets,Retail Availability,Bundled Cooler,E-Core L3,Maximum Memory,AI Boost NPU 4,Max Power,Packaged Memory,Memory Capacity,Cache L0-D,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Boost 3.0,TDP-down Frequency,Configurable TDP-down,LPDDR4 Speed,Base Die Process,Base Die Transistors,Base Die Size,All Core Turbo,Bus Speed,TDP-Down Freq.,LPDDR3 Speed,TDP-Down Frequency,MSRP,TDP Range,eDRAM Process Size,eDRAM Die Size,Cache L4,TDP-Up Freq.,TDP-down,Radeon Graphics Die Size,Dedicated Graphics,DDR3L Speed,DMI Bus Speed,Voltage,Core Pipeline,Announcement
331,Intel BGA 1440,Intel,14 nm,,,FC-BGA1440,,Mobile,Active,"Aug 21st, 2019",unknown,1000 MHz,up to 4 GHz,100 MHz,10.0x,No,9 W,Comet Lake-Y,Core i3,DDR3,,,,No,,2,4,1,UHD Graphics,64 KB (per core),256 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Intel BGA 1440,Intel,14 nm,,,FC-BGA1440,,Mobile,End-of-life,"Aug 21st, 2019",unknown,1600 MHz,up to 4.2 GHz,100 MHz,16.0x,No,25 W,Comet Lake-U,Core i5,"DDR3, DDR4",,,,No,,4,8,1,UHD Graphics,64 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Intel BGA 1440,Intel,14 nm,,,FC-BGA1440,,Mobile,Active,"Aug 21st, 2019",unknown,1000 MHz,up to 4 GHz,100 MHz,10.0x,No,9 W,Comet Lake-Y,Core i5,DDR3,,,,No,,4,8,1,UHD Graphics,64 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Intel BGA 1440,Intel,10 nm,,123 mm²,FC-BGA1377,,Mobile,Active,"Aug 1st, 2019",unknown,700 MHz,up to 3.5 GHz,100 MHz,7.0x,No,9 W,Ice Lake-Y,Core i5,DDR4,,,Quad-channel,No,Gen 3,4,8,1,Iris Plus,80 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,,9-12W,,,,,,,,,,,,
335,Intel BGA 1440,Intel,10 nm,,123 mm²,FC-BGA1377,,Mobile,Active,"Aug 1st, 2019",unknown,800 MHz,up to 3.5 GHz,100 MHz,8.0x,No,9 W,Ice Lake-Y,Core i5,DDR4,,,Quad-channel,No,Gen 3,4,8,1,Iris Plus,80 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,,9-12W,,,,,,,,,,,,
336,Intel BGA 1440,Intel,14 nm,,,FC-BGA1440,,Mobile,Active,"Aug 21st, 2019",unknown,1100 MHz,up to 4.1 GHz,100 MHz,11.0x,No,9 W,Comet Lake-Y,Core i5,DDR3,,,,No,,4,8,1,UHD Graphics,64 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Intel BGA 1526,Intel,10 nm,,123 mm²,FC-BGA16F,,Mobile,Active,"Aug 1st, 2019",SRGKG,1000 MHz,up to 3.6 GHz,100 MHz,10.0x,No,15 W,Ice Lake-U,Core i5,DDR4,,3200 MT/s,Dual-channel,No,Gen 3,4,8,1,UHD Graphics,80 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,$297,13-25W,,,,,,,,,,,,
338,Intel BGA 1526,Intel,10 nm,,123 mm²,FC-BGA16F,,Mobile,Active,"Aug 1st, 2019",SRGKK,1100 MHz,up to 3.7 GHz,100 MHz,11.0x,No,15 W,Ice Lake-U,Core i5,DDR4,,3200 MT/s,Dual-channel,No,Gen 3,4,8,1,Iris Plus,80 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,$309,12-25W,,,,,,,,,,,,
339,Intel BGA 1526,Intel,10 nm,,123 mm²,FC-BGA16F,,Mobile,Active,"Aug 1st, 2019",SRGKJ,1200 MHz,up to 3.7 GHz,100 MHz,12.0x,No,15 W,Ice Lake-U,Core i5,DDR4,,3200 MT/s,Dual-channel,No,Gen 3,4,8,1,Iris Plus,80 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,$320,12-25W,,,,,,,,,,,,
340,Intel BGA 1526,Intel,14 nm,"2,300 million",126 mm²,FC-BGA1528,100°C,Mobile,End-of-life,"Apr 3rd, 2019",SREZ0,2.4 GHz,up to 4.1 GHz,100 MHz,24.0x,No,28 W,Coffee Lake-U,Core i5,DDR4,,2133 MT/s,Dual-channel,No,"Gen 3, 16 Lanes",4,8,1,Iris Pro Plus 655,64 KB (per core),256 KB (per core),6 MB (shared),,,,,,,,,,,,,,,$320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 nm,84 mm²,128 MB (shared),,,,,,,,,
341,Intel BGA 1528,Intel,14 nm,,,FC-BGA14F,100°C,Mobile,End-of-life,"Apr 16th, 2019",SRF9Z,1600 MHz,up to 4.1 GHz,100 MHz,16.0x,No,15 W,Whiskey Lake-U,Core i5,DDR4,,2400 MT/s,Dual-channel,No,"Gen 3, 16 Lanes",4,8,1,UHD Graphics 620,64 KB (per core),256 KB (per core),6 MB (shared),,,,10-25 W,,,,,,,,,,,$297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,up to 3.8 GHz,,,,,,,,,,,800 MHz,2133 MT/s,,,,,,,1900 MHz,,,,,,,,
342,Intel BGA 1528,Intel,14 nm,,,FC-BGA14F,100°C,Mobile,Active,"Apr 16th, 2019",SRFDU,1600 MHz,up to 4.1 GHz,100 MHz,16.0x,No,15 W,Whiskey Lake-U,Core i5,DDR4,,2400 MT/s,Dual-channel,No,"Gen 3, 16 Lanes",4,8,1,UHD Graphics 620,64 KB (per core),256 KB (per core),6 MB (shared),,,,12.5-25 W,,,,,,,,,,,$297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,up to 3.8 GHz,,,,,,,,,,,1100 MHz,2133 MT/s,,,,,,,1800 MHz,,,,,,,,
343,Intel BGA 1440,Intel,14 nm,,,FC-BGA1440,,Mobile,End-of-life,"Aug 21st, 2019",unknown,1800 MHz,up to 4.9 GHz,100 MHz,18.0x,No,25 W,Comet Lake-U,Core i7,"DDR3, DDR4",,,,No,,4,8,1,UHD Graphics,64 KB (per core),256 KB (per core),8 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Intel BGA 1440,Intel,14 nm,,,FC-BGA1440,,Mobile,Active,"Aug 21st, 2019",unknown,1200 MHz,up to 4.5 GHz,100 MHz,12.0x,No,9 W,Comet Lake-Y,Core i7,DDR3,,,,No,,4,8,1,UHD Graphics,64 KB (per core),256 KB (per core),8 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Intel BGA 1440,Intel,10 nm,,123 mm²,FC-BGA1377,,Mobile,Active,"Aug 1st, 2019",unknown,1000 MHz,up to 3.8 GHz,100 MHz,10.0x,No,9 W,Ice Lake-Y,Core i7,DDR4,,,Quad-channel,No,Gen 3,4,8,1,Iris Plus,80 KB (per core),256 KB (per core),8 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,,9-12W,,,,,,,,,,,,
346,Intel BGA 1526,Intel,10 nm,,123 mm²,FC-BGA16F,,Mobile,Active,"Aug 1st, 2019",SRG0N,1300 MHz,up to 3.9 GHz,100 MHz,13.0x,No,15 W,Ice Lake-U,Core i7,DDR4,,3200 MT/s,Dual-channel,No,Gen 3,4,8,1,Iris Plus,80 KB (per core),256 KB (per core),8 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,$426,12-25W,,,,,,,,,,,,
347,Intel BGA 1344,Intel,10 nm,,123 mm²,FC-BGA16F,100°C,Mobile,End-of-life,"Aug 1st, 2019",SRG0U,2.3 GHz,up to 4.1 GHz,100 MHz,23.0x,No,28 W,Ice Lake-U,Core i7,DDR4,,3200 MT/s,Dual-channel,No,Gen 3,4,8,1,Iris Plus,64 KB (per core),256 KB (per core),8 MB (shared),,,,,,,,,,,,,,,$320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,,,,,,,,,,,,,,
348,Intel BGA 1440,Intel,14 nm,,,FC-BGA1440,,Mobile,End-of-life,"Aug 21st, 2019",unknown,1100 MHz,up to 4.7 GHz,100 MHz,11.0x,No,25 W,Comet Lake-U,Core i7,"DDR3, DDR4",,,,No,,6,12,1,UHD Graphics,64 KB (per core),256 KB (per core),12 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Intel BGA 1440,Intel,14 nm,,149 mm²,FC-BGA1440,100°C,Mobile,End-of-life,"Apr 23rd, 2019",SRF6U,2.6 GHz,up to 4.5 GHz,100 MHz,26.0x,No,45 W,Coffee Lake-HR,Core i7,DDR4,,2666 MT/s,Dual-channel,No,Gen 3,6,12,1,UHD 630,64 KB (per core),256 KB (per core),12 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Intel BGA 1440,Intel,14 nm,,149 mm²,FC-BGA1440,100°C,Mobile,End-of-life,"Apr 23rd, 2019",SRG1T,2.6 GHz,up to 4.5 GHz,100 MHz,26.0x,No,45 W,Coffee Lake-HR,Core i7,DDR4,,2666 MT/s,Dual-channel,No,Gen 3,6,12,1,N/A,64 KB (per core),256 KB (per core),12 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Intel BGA 1440,Intel,14 nm,,149 mm²,FC-BGA1440,100°C,Mobile,End-of-life,"Apr 23rd, 2019",SRFCN,2.6 GHz,up to 4.6 GHz,100 MHz,26.0x,No,45 W,Coffee Lake-HR,Core i7,DDR4,,2666 MT/s,Dual-channel,No,Gen 3,6,12,1,UHD Graphics 630,64 KB (per core),256 KB (per core),12 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
