,link,name
176,/cpu-specs/ryzen-9-pro-6950hs.c2764,Ryzen 9 PRO 6950HS
177,/cpu-specs/steam-deck-cpu-lcd.c3397,Steam Deck CPU (LCD)
178,/cpu-specs/celeron-7300.c2675,Celeron 7300
179,/cpu-specs/celeron-7305.c2674,Celeron 7305
180,/cpu-specs/core-i3-1210u.c2586,Core i3-1210U
181,/cpu-specs/core-i3-1215u.c2585,Core i3-1215U
182,/cpu-specs/core-i3-1215u-ipu.c2698,Core i3-1215U (IPU)
183,/cpu-specs/core-i3-1220p.c2584,Core i3-1220P
184,/cpu-specs/core-i3-12300he.c2547,Core i3-12300HE
185,/cpu-specs/core-i5-1230u.c2587,Core i5-1230U
186,/cpu-specs/core-i5-1235u.c2591,Core i5-1235U
187,/cpu-specs/core-i5-1235u-ipu.c2699,Core i5-1235U (IPU)
188,/cpu-specs/core-i5-1240p.c2583,Core i5-1240P
189,/cpu-specs/core-i5-1240u.c2588,Core i5-1240U
190,/cpu-specs/core-i5-12450h.c2533,Core i5-12450H
191,/cpu-specs/core-i5-12450hx.c2792,Core i5-12450HX
192,/cpu-specs/core-i5-1245u.c2592,Core i5-1245U
193,/cpu-specs/core-i5-12500h.c2534,Core i5-12500H
194,/cpu-specs/core-i5-1250p.c2582,Core i5-1250P
195,/cpu-specs/core-i5-12600h.c2535,Core i5-12600H
196,/cpu-specs/core-i5-12600he.c2557,Core i5-12600HE
197,/cpu-specs/core-i5-12600hx.c2791,Core i5-12600HX
198,/cpu-specs/core-i7-1250u.c2589,Core i7-1250U
199,/cpu-specs/core-i7-1255u.c2593,Core i7-1255U
200,/cpu-specs/core-i7-1260p.c2581,Core i7-1260P
201,/cpu-specs/core-i7-1260u.c2590,Core i7-1260U
202,/cpu-specs/core-i7-12650h.c2536,Core i7-12650H
203,/cpu-specs/core-i7-12650hx.c2790,Core i7-12650HX
204,/cpu-specs/core-i7-1265u.c2594,Core i7-1265U
205,/cpu-specs/core-i7-12700h.c2537,Core i7-12700H
206,/cpu-specs/core-i7-1270p.c2580,Core i7-1270P
207,/cpu-specs/core-i7-12800h.c2538,Core i7-12800H
208,/cpu-specs/core-i7-12800he.c2564,Core i7-12800HE
209,/cpu-specs/core-i7-12800hx.c2789,Core i7-12800HX
210,/cpu-specs/core-i7-1280p.c2579,Core i7-1280P
211,/cpu-specs/core-i7-12850hx.c2788,Core i7-12850HX
212,/cpu-specs/core-i9-12900h.c2539,Core i9-12900H
213,/cpu-specs/core-i9-12900hk.c2540,Core i9-12900HK
214,/cpu-specs/core-i9-12900hx.c2787,Core i9-12900HX
215,/cpu-specs/core-i9-12950hx.c2786,Core i9-12950HX
216,/cpu-specs/pentium-8500.c2672,Pentium 8500
217,/cpu-specs/pentium-8505.c2673,Pentium 8505
218,/cpu-specs/pentium-8505-ipu.c2700,Pentium 8505 (IPU)
219,/cpu-specs/ryzen-3-5300u.c2745,Ryzen 3 5300U
220,/cpu-specs/ryzen-3-5400u.c2748,Ryzen 3 5400U
221,/cpu-specs/ryzen-3-pro-5450u.c2772,Ryzen 3 PRO 5450U
222,/cpu-specs/ryzen-5-5500u.c2372,Ryzen 5 5500U
223,/cpu-specs/ryzen-5-5560u.c3265,Ryzen 5 5560U
224,/cpu-specs/ryzen-5-5600hs.c3519,Ryzen 5 5600HS
225,/cpu-specs/ryzen-5-5600u.c2747,Ryzen 5 5600U
226,/cpu-specs/ryzen-5-pro-5650u.c2773,Ryzen 5 PRO 5650U
227,/cpu-specs/ryzen-7-5700u.c2744,Ryzen 7 5700U
228,/cpu-specs/ryzen-7-5800h.c2368,Ryzen 7 5800H
229,/cpu-specs/ryzen-7-5800hs.c2369,Ryzen 7 5800HS
230,/cpu-specs/ryzen-7-5800u.c2746,Ryzen 7 5800U
