,Unnamed: 0,Socket,Foundry,Process Size: ,Transistors,Die Size,Package,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,Base Clock,Multiplier,Multiplier Unlocked,TDP,Codename,Generation,Memory Support,LPDDR4x Speed,Rated Speed,Memory Bus,ECC Memory,PCI-Express,# of Cores,# of Threads,SMP # CPUs: ,Integrated Graphics,Cache L1,Cache L2,Cache L3,LPDDR5 Speed,P-Core Base,E-Core Frequency,Configurable TDP,LPDDR5x Speed,Hybrid Cores,I/O Process Size,I/O Die Size,XDNA NPU,PPT,3D V-Cache,E-Core L1,E-Core L2,Chipset,Launch Price,DDR4 Speed,SoC Tile Process,I/O Tile Process,Graphics Tile Process,LP E-Core Boost,AI Boost NPU,Maximum Power,Secondary PCIe,LP E-Cores,Tertiary PCIe,Minimum Power,PL1,PL2,DDR5 Speed,PCH PCIe,Min. Assured Freq.,Max. Assured Freq.,tCaseMax,P-Core Boost 3.0,PL2 Tau Limit,Chipsets,Retail Availability,Bundled Cooler,E-Core L3,Maximum Memory,AI Boost NPU 4,Max Power,Packaged Memory,Memory Capacity,Cache L0-D,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Boost 3.0,TDP-down Frequency,Configurable TDP-down,LPDDR4 Speed,Base Die Process,Base Die Transistors,Base Die Size,All Core Turbo,Bus Speed,TDP-Down Freq.,LPDDR3 Speed,TDP-Down Frequency,MSRP,TDP Range,eDRAM Process Size,eDRAM Die Size,Cache L4,TDP-Up Freq.,TDP-down,Radeon Graphics Die Size,Dedicated Graphics,DDR3L Speed,DMI Bus Speed,Voltage,Core Pipeline,Announcement,Name
464,464,Intel BGA 1440,Intel,14 nm,"2,300 million",122 mm²,FC-BGA14F,100°C,Server/Workstation,End-of-life,"Oct 27th, 2015",SR2FM,2.8 GHz,up to 3.7 GHz,100 MHz,28.0x,No,45 W,Skylake-H,Xeon E3,"DDR3, DDR4",,2133 MT/s,Dual-channel,Yes,"Gen 3, 16 Lanes",4,8,1,HD Graphics P530,64 KB (per core),256 KB (per core),8 MB (shared),,,,35 W,,,,,,,,,,,$434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sep 1st, 2015",Xeon E3-1505M v5
465,465,Intel BGA 1440,Intel,14 nm,"2,300 million",122 mm²,FC-BGA14F,100°C,Server/Workstation,End-of-life,"Oct 27th, 2015",SR2FM,2.9 GHz,up to 3.7 GHz,100 MHz,29.0x,No,45 W,Skylake-H,Xeon E3,"DDR3, DDR4",,2133 MT/s,Dual-channel,Yes,"Gen 3, 16 Lanes",4,8,1,HD Graphics P530,64 KB (per core),256 KB (per core),8 MB (shared),,,,35 W,,,,,,,,,,,$623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sep 1st, 2015",Xeon E3-1535M v5
466,466,VIA nanoBGA2,TSMC,28 nm,,46 mm²,FC-BGA400,,Mobile,unknown,2015,unknown,1333 MHz,up to 2000 MHz,333 MHz,4.0x,No,18 W,CNR,Nano Quad,DDR3,,1333 MT/s,Single-channel,No,,4,4,2,On certain motherboards (Chipset feature),64 KB (per core),2 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VIA VX900, VIA VX11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15 V,,,Nano QuadCore C4650
467,467,VIA nanoBGA2,TSMC,28 nm,,46 mm²,FC-BGA400,,Mobile,Active,2015,unknown,1333 MHz,up to 2000 MHz,333 MHz,4.0x,No,35 W,ZX-C+,Nano Quad,DDR3,,1333 MT/s,Single-channel,No,,4,4,2,On certain motherboards (Chipset feature),64 KB (per core),2 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VIA VX900, VIA VX11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nano QuadCore C4700
468,468,AMD Socket FT3,GlobalFoundries,28 nm,,107 mm²,BGA769,,Mobile,End-of-life,"Dec 20th, 2014",AM334BIAJ44HM,2.2 GHz,,100 MHz,22.0x,No,25 W,Kabini,A4,DDR3,,1600 MT/s,Single-channel,No,"Gen 2, 8 Lanes",4,4,1,Radeon HD 8240,64 KB (per core),2 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.475 V,16 Stages,,A4 PRO-3340B
469,469,AMD Socket FT3,GlobalFoundries,28 nm,,107 mm²,BGA2,,Mobile,End-of-life,"Feb 1st, 2014",AM5050IBJ44HM,1550 MHz,,100 MHz,15.5x,No,13 W,Kabini,A4,DDR3,,1600 MT/s,Single-channel,No,"Gen 2, 8 Lanes",4,4,1,Radeon HD 8330,64 KB (per core),2 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.475 V,16 Stages,,A4-5050
470,470,AMD Socket FT3,GlobalFoundries,28 nm,,107 mm²,BGA2,,Mobile,End-of-life,"Feb 1st, 2014",EM2150ICJ23HM,1050 MHz,,100 MHz,10.5x,No,9 W,Kabini,E1,DDR3,,1333 MT/s,Single-channel,No,"Gen 2, 8 Lanes",2,2,1,Radeon HD 8210,64 KB (per core),1 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1 V,16 Stages,,E1-2150
471,471,AMD Socket FT3,GlobalFoundries,28 nm,,107 mm²,BGA769,,Mobile,End-of-life,"Apr 29th, 2014",EM6010IUJ23JB,1350 MHz,,100 MHz,13.5x,No,10 W,Beema,E1,DDR3,,1333 MT/s,Single-channel,No,"Gen 2, 8 Lanes",2,2,1,Radeon R2 Graphics,64 KB (per core),1 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3 V,16 Stages,,E1-6010
472,472,AMD Socket FT3,GlobalFoundries,28 nm,,107 mm²,BGA769,,Mobile,End-of-life,"Jan 5th, 2014",EM3800IBJ44HM,1300 MHz,,100 MHz,13.0x,No,15 W,Kabini,E2,DDR3,,1600 MT/s,Single-channel,Yes,"Gen 2, 8 Lanes",4,4,1,Radeon HD 8280,64 KB (per core),2 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3 V,16 Stages,,E2-3800
473,473,AMD Socket FP3,GlobalFoundries,28 nm,"2,410 million",245 mm²,FC-BGA,102°C,Mobile,End-of-life,"Jun 4th, 2014",FM7500ECH44JA,2.1 GHz,up to 3.3 GHz,100 MHz,21.0x,No,19 W,Kaveri,FX,DDR3,,1600 MT/s,Dual-channel,No,"Gen 3, 8 Lanes",4,4,1,Radeon R7 6CU,256 KB,2 MB (per module),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FX-7500
